ID Number,Day of Rating,Month of Rating,Year of Rating
164,25,10,2001
427,7,9,2001
124,25,1,2001
223,11,10,2001
96,27,2,2001
183,12,12,2001
167,18,6,2001
355,9,1,2001
202,22,5,2001
312,28,2,2001
110,14,5,2001
182,25,6,2001
473,14,6,2001
432,18,5,2001
200,3,10,2001
396,11,12,2001
405,17,9,2001
437,26,6,2001
408,30,4,2001
467,6,2,2001
354,12,3,2001
494,16,2,2001
379,19,3,2001
484,16,4,2001
295,20,6,2001
488,6,6,2001
147,29,1,2001
369,20,8,2001
8,16,11,2001
491,28,12,2001
331,22,5,2001
294,14,12,2001
149,14,2,2001
332,5,2,2001
184,25,7,2001
136,22,8,2001
419,30,11,2001
111,15,11,2001
373,3,10,2001
271,21,5,2001
169,25,5,2001
234,3,9,2001
107,6,6,2001
185,6,7,2001
68,17,12,2001
89,13,2,2001
315,3,1,2001
129,23,12,2001
